,Date
891,07/02/2020
892,07/02/2020
893,07/02/2020
894,07/02/2020
895,07/02/2020
896,07/02/2020
897,07/02/2020
898,07/02/2020
899,07/02/2020
900,07/02/2020
901,07/02/2020
902,07/02/2020
903,07/02/2020
904,07/02/2020
905,07/02/2020
906,07/02/2020
907,07/02/2020
908,07/02/2020
909,07/02/2020
910,07/02/2020
911,07/02/2020
912,08/02/2020
913,08/02/2020
914,08/02/2020
915,08/02/2020
916,08/02/2020
917,08/02/2020
918,08/02/2020
919,08/02/2020
920,08/02/2020
921,08/02/2020
922,08/02/2020
923,08/02/2020
924,08/02/2020
925,08/02/2020
926,08/02/2020
927,08/02/2020
928,08/02/2020
929,08/02/2020
930,08/02/2020
931,08/02/2020
932,08/02/2020
933,08/02/2020
934,08/02/2020
935,08/02/2020
936,09/02/2020
937,09/02/2020
938,09/02/2020
939,09/02/2020
940,09/02/2020
941,09/02/2020
942,09/02/2020
943,09/02/2020
944,09/02/2020
945,09/02/2020
946,09/02/2020
947,09/02/2020
948,09/02/2020
949,09/02/2020
950,09/02/2020
951,09/02/2020
952,09/02/2020
953,09/02/2020
954,09/02/2020
955,09/02/2020
956,09/02/2020
957,09/02/2020
958,09/02/2020
959,09/02/2020
960,10/02/2020
961,10/02/2020
962,10/02/2020
963,10/02/2020
964,10/02/2020
965,10/02/2020
966,10/02/2020
967,10/02/2020
968,10/02/2020
969,10/02/2020
970,10/02/2020
971,10/02/2020
972,10/02/2020
973,10/02/2020
974,10/02/2020
975,10/02/2020
976,10/02/2020
977,10/02/2020
978,10/02/2020
979,10/02/2020
980,10/02/2020
981,10/02/2020
982,10/02/2020
983,10/02/2020
984,11/02/2020
985,11/02/2020
986,11/02/2020
987,11/02/2020
988,11/02/2020
989,11/02/2020
990,11/02/2020
991,11/02/2020
992,11/02/2020
993,11/02/2020
994,11/02/2020
995,11/02/2020
996,11/02/2020
997,11/02/2020
998,11/02/2020
999,11/02/2020
1000,11/02/2020
1001,11/02/2020
1002,11/02/2020
1003,11/02/2020
1004,11/02/2020
1005,11/02/2020
1006,11/02/2020
1007,11/02/2020
1008,12/02/2020
1009,12/02/2020
1010,12/02/2020
1011,12/02/2020
1012,12/02/2020
1013,12/02/2020
1014,12/02/2020
1015,12/02/2020
1016,12/02/2020
1017,12/02/2020
1018,12/02/2020
1019,12/02/2020
1020,12/02/2020
1021,12/02/2020
1022,12/02/2020
1023,12/02/2020
1024,12/02/2020
1025,12/02/2020
1026,12/02/2020
1027,12/02/2020
1028,12/02/2020
1029,12/02/2020
1030,12/02/2020
1031,12/02/2020
1032,13/02/2020
1033,13/02/2020
1034,13/02/2020
1035,13/02/2020
1036,13/02/2020
1037,13/02/2020
1038,13/02/2020
1039,13/02/2020
1040,13/02/2020
1041,13/02/2020
1042,13/02/2020
1043,13/02/2020
1044,13/02/2020
1045,13/02/2020
1046,13/02/2020
1047,13/02/2020
1048,13/02/2020
1049,13/02/2020
1050,13/02/2020
1051,13/02/2020
